patient_id,nir,nom,prenom,birth_date,sex,region_code
IPP0000031,290047563508403,DAVID,Louis,1990-04-19,F,75
IPP0000032,245117824527274,GARCIA,Luc,1945-11-23,F,78
IPP0000033,252029563757761,THOMAS,Pierre,1952-02-01,F,95
IPP0000034,164069437929273,PETIT,Thomas,1964-06-03,M,94
IPP0000035,254117568483744,FOURNIER,Lea,1954-11-17,F,75
IPP0000036,147059276156773,ROBERT,Marc,1947-05-04,M,92
IPP0000037,255067751850136,MOREAU,Marie,1955-06-07,F,77
IPP0000038,153057534279072,ROBERT,Marc,1953-05-02,M,75
IPP0000039,158127511507889,ROBERT,Manon,1958-12-14,M,75
IPP0000040,133099113104301,SIMON,Chloe,1933-09-05,M,91
IPP0000041,145119236379944,FOURNIER,Camille,1945-11-08,M,92
IPP0000042,144039390342322,MARTIN,Emma,1944-03-26,M,93
IPP0000043,238119427416496,THOMAS,Nicolas,1938-11-28,F,94
IPP0000044,144049535931321,LEROY,Julie,1944-04-27,M,95
IPP0000045,160069299179287,MOREAU,Chloe,1960-06-09,M,92
IPP0000046,253097511989971,MOREAU,Emma,1953-09-11,F,75
IPP0000047,212067844762152,VINCENT,Sophie,2012-06-24,F,78
IPP0000048,245059100253360,FOURNIER,Paul,1945-05-02,F,91
IPP0000049,276109273892284,SIMON,Antoine,1976-10-11,F,92
IPP0000050,261077756813183,DURAND,Camille,1961-07-23,F,95
IPP0000051,252037741656230,MARTIN,Lea,1952-03-20,F,77
IPP0000052,290107847745324,BERTRAND,Paul,1990-10-21,F,78
IPP0000053,246117752868078,GIRARD,Hugo,1946-11-03,F,77
IPP0000054,144119482620433,ROBERT,Jean,1944-11-10,M,94
IPP0000055,171109246742582,MOREL,Paul,1971-10-28,M,92
IPP0000056,263037591576982,THOMAS,Camille,1963-03-21,F,75
IPP0000057,192089494086947,THOMAS,Thomas,1992-08-02,M,94
IPP0000058,135097897377465,BERTRAND,Ines,1935-09-20,M,78
IPP0000059,234089546126634,LEROY,Marc,1934-08-06,F,95
IPP0000060,262087724127912,LAURENT,Hugo,1962-08-03,F,77
IPP0000061,101079372422006,DUBOIS,Camille,2001-07-23,M,93
IPP0000062,272079485343132,GARCIA,Louis,1972-07-02,F,94
IPP0000063,133077596636159,SIMON,Nicolas,1933-07-16,M,75
IPP0000064,255099450022553,MOREAU,Camille,1955-09-26,F,94
IPP0000065,215119174217062,BERTRAND,Luc,2015-11-22,F,91
IPP0000066,133107508665919,DAVID,Luc,1933-10-22,M,75
IPP0000067,200079446633537,LAURENT,Nicolas,2000-07-11,F,94
IPP0000068,238059248202069,FOURNIER,Marie,1938-05-27,F,92
IPP0000069,206117597325432,DURAND,Jean,2006-11-02,F,75
IPP0000070,171119447771734,MOREAU,Chloe,1971-11-04,M,94
IPP0000071,155129398831991,THOMAS,Louis,1955-12-04,M,93
IPP0000072,133119196573328,DURAND,Pierre,1933-11-13,M,91
IPP0000073,199119281658032,BERNARD,Chloe,1999-11-20,M,92
IPP0000074,265097801387089,DAVID,Sarah,1965-09-21,F,78
IPP0000075,175119572515712,DAVID,Emma,1975-11-27,M,95
IPP0000076,252099547744759,MOREL,Marc,1952-09-25,F,95
IPP0000077,249059476947613,MOREL,Ines,1949-05-15,F,94
IPP0000078,271069521836446,MOREAU,Hugo,1971-06-06,F,95
IPP0000079,243099408824877,DAVID,Sarah,1943-09-01,F,94
IPP0000080,156129581201840,DUBOIS,Lea,1956-12-16,M,95
IPP0000081,179057848556782,VINCENT,Chloe,1979-05-22,M,78
IPP0000082,234069527831412,MOREAU,Julie,1934-06-12,F,95
IPP0000083,161029319722287,ROUX,Marc,1961-02-24,M,93
IPP0000084,245057818431024,MARTIN,Manon,1945-05-08,F,78
IPP0000085,185099365489068,ROUX,Sophie,1985-09-10,M,93
IPP0000086,159087818998962,BERNARD,Marc,1959-08-15,M,78
IPP0000087,206079259164505,BERNARD,Luc,2006-07-16,F,92
IPP0000088,142029257278301,DAVID,Ines,1942-02-08,M,92
IPP0000089,139087788160395,DAVID,Lea,1939-08-15,M,77
IPP0000090,155029464121737,MOREAU,Pierre,1955-02-25,M,94
IPP0000091,169027541946271,GIRARD,Sarah,1969-02-06,M,75
IPP0000092,216129507370457,LEROY,Marc,2016-12-10,F,95
IPP0000093,169049393127363,ROBERT,Pierre,1969-04-21,M,93
IPP0000094,199107745012819,BERTRAND,Lea,1999-10-24,M,77
IPP0000095,235099508361333,BERNARD,Camille,1935-09-16,F,95
IPP0000096,266027578468949,MOREAU,Louis,1966-02-08,F,75
IPP0000097,146089593928575,PETIT,Louis,1946-08-17,M,95
IPP0000098,259027841934265,LAURENT,Sophie,1959-02-16,F,78
IPP0000099,171059183477914,FOURNIER,Marie,1971-05-22,M,91
IPP0000100,200069188652717,MARTIN,Manon,2000-06-04,F,78
IPP0000101,280099564145366,BERNARD,Paul,1980-09-12,F,95
IPP0000102,252059512503011,GIRARD,Julie,1952-05-15,F,95
IPP0000103,186099223186257,THOMAS,Thomas,1986-09-14,M,92
IPP0000104,164087752272314,MOREAU,Camille,1964-08-23,M,77
IPP0000105,244089339319659,GIRARD,Antoine,1944-08-18,F,93
IPP0000106,143077784100334,SIMON,Lea,1943-07-11,M,77
IPP0000107,237097834156673,FOURNIER,Nicolas,1937-09-16,F,78
IPP0000108,245129124087760,DAVID,Marie,1945-12-08,F,91
IPP0000109,255079350898815,BERNARD,Luc,1955-07-13,F,93
IPP0000110,237029501674057,ROBERT,Camille,1937-02-17,F,95
IPP0000111,117069166608370,LAURENT,Manon,2017-06-20,M,91
IPP0000112,231129589455561,BERNARD,Ines,1931-12-25,F,95
IPP0000113,177049244510194,THOMAS,Thomas,1977-04-24,M,92
IPP0000114,152017881605868,SIMON,Chloe,1952-01-02,M,78
IPP0000115,279099317518066,DUBOIS,Ines,1979-09-14,F,93
IPP0000116,263089323847309,MOREAU,Thomas,1963-08-19,F,93
IPP0000117,252089307645393,MICHEL,Louis,1952-08-10,F,93
IPP0000118,260129586631016,DURAND,Nicolas,1960-12-09,F,95
IPP0000119,296107771730379,MARTIN,Nicolas,1996-10-12,F,77
IPP0000120,224109585392667,SIMON,Julie,2024-10-24,F,95
IPP0000121,202109364410050,BERNARD,Lea,2002-10-09,F,93
IPP0000122,214129293230387,LAURENT,Camille,2014-12-05,F,92
IPP0000123,191067785116913,MOREAU,Sarah,1991-06-17,M,77
IPP0000124,261029214577306,LEROY,Nicolas,1961-02-15,F,92
IPP0000125,296019246637801,MOREAU,Louis,1996-01-09,F,92
IPP0000126,240029448302627,GIRARD,Manon,1940-02-22,F,94
IPP0000127,244119593271845,SIMON,Camille,1944-11-03,F,95
IPP0000128,107059210024173,FOURNIER,Luc,2007-05-16,M,92
IPP0000129,256129160276129,ROBERT,Camille,1956-12-23,F,91
IPP0000130,132077570738002,DURAND,Thomas,1932-07-09,M,75
IPP0000131,240027855892427,MICHEL,Marie,1940-02-22,F,78
IPP0000132,283089465865591,GIRARD,Jean,1983-08-03,F,94
IPP0000133,144039407185084,FOURNIER,Paul,1944-03-26,M,94
IPP0000134,144069380892392,GIRARD,Jean,1944-06-25,M,93
IPP0000135,247037781817944,THOMAS,Jean,1947-03-18,F,77
IPP0000136,118107517927297,BERNARD,Luc,2018-10-11,M,75
IPP0000137,255029579737173,VINCENT,Louis,1955-02-16,F,95
IPP0000138,163107747065970,MARTIN,Marie,1963-10-02,M,77
IPP0000139,238119573093274,BERTRAND,Pierre,1938-11-04,F,95
IPP0000140,182027764064932,MOREL,Manon,1982-02-05,M,77
IPP0000141,267099551862055,DAVID,Sophie,1967-09-10,F,95
IPP0000142,131099444146395,LEROY,Camille,1931-09-24,M,94
IPP0000143,239079232143802,LAURENT,Marc,1939-07-24,F,92
IPP0000144,236029209644324,THOMAS,Chloe,1936-02-03,F,92
IPP0000145,157097868712667,DAVID,Chloe,1957-09-18,M,78
IPP0000146,250057736110734,MOREL,Antoine,1950-05-20,F,77
IPP0000147,193049235986658,FOURNIER,Chloe,1993-04-28,M,92
IPP0000148,133049186657537,GIRARD,Ines,1933-04-26,M,91
IPP0000149,156127518528019,SIMON,Hugo,1956-12-09,M,75
IPP0000150,221109107214688,MARTIN,Pierre,2021-10-22,F,92
IPP0000151,172067832073978,LAURENT,Louis,1972-06-06,M,78
IPP0000152,147037569108476,MOREAU,Thomas,1947-03-25,M,75
IPP0000153,259079477452535,THOMAS,Chloe,1959-07-09,F,94
IPP0000154,287119554068432,SIMON,Marie,1987-11-19,F,95
IPP0000155,167019430996908,DURAND,Luc,1967-01-01,M,94
IPP0000156,283019118013381,GARCIA,Manon,1983-01-16,F,91
IPP0000157,153117807440771,BERNARD,Camille,1953-11-26,M,78
IPP0000158,165069158841517,DAVID,Lea,1965-06-19,M,91
IPP0000159,176039585270734,MICHEL,Pierre,1976-03-26,M,95
IPP0000160,244079153708163,GARCIA,Lea,1944-07-19,F,91
IPP0000161,203029254452352,DURAND,Chloe,2003-02-17,F,92
IPP0000162,253119324210618,ROBERT,Marc,1953-11-27,F,93
IPP0000163,104119397579266,ROUX,Thomas,2004-11-03,M,93
IPP0000164,252107888599565,LAURENT,Luc,1952-10-21,F,78
IPP0000165,211117760605875,MICHEL,Antoine,2011-11-10,F,77
IPP0000166,172017885229403,DUBOIS,Pierre,1972-01-02,M,78
IPP0000167,258129593183069,MOREL,Paul,1958-12-02,F,95
IPP0000168,258039510683136,LAURENT,Pierre,1958-03-02,F,95
IPP0000169,111089337338206,SIMON,Nicolas,2011-08-17,M,93
IPP0000170,232017806833872,THOMAS,Manon,1932-01-26,F,78
IPP0000171,267039259768035,ROBERT,Chloe,1967-03-11,F,92
IPP0000172,239039231857387,GARCIA,Hugo,1939-03-20,F,92
IPP0000173,153129266268725,DAVID,Antoine,1953-12-22,M,92
IPP0000174,216037897178526,ROUX,Paul,2016-03-07,F,78
IPP0000175,147029252079048,FOURNIER,Antoine,1947-02-10,M,92
IPP0000176,152109115816792,PETIT,Ines,1952-10-05,M,91
IPP0000177,166079499345532,GIRARD,Lea,1966-07-12,M,94
IPP0000178,279059592685622,DURAND,Chloe,1979-05-26,F,95
IPP0000179,262079199016656,DURAND,Ines,1962-07-17,F,91
IPP0000180,150117856895777,THOMAS,Antoine,1950-11-16,M,78
IPP0000181,181059385144867,DUBOIS,Julie,1981-05-15,M,93
IPP0000182,251079151538378,LEROY,Nicolas,1951-07-02,F,91
IPP0000183,186067881115092,ROBERT,Marie,1986-06-04,M,78
IPP0000184,236129377872378,ROUX,Thomas,1936-12-27,F,93
IPP0000185,151059356296389,GIRARD,Antoine,1951-05-07,M,93
IPP0000186,299049204924532,DAVID,Ines,1999-04-10,F,92
IPP0000187,210107564852881,MOREL,Julie,2010-10-18,F,75
IPP0000188,186109458542719,PETIT,Pierre,1986-10-12,M,94
IPP0000189,209097540089509,ROUX,Marie,2009-09-17,F,75
IPP0000190,243127880807087,MICHEL,Julie,1943-12-01,F,78
IPP0000191,141037856034776,PETIT,Thomas,1941-03-02,M,78
IPP0000192,254039503830186,DURAND,Marie,1954-03-03,F,95
IPP0000193,141059183555727,ROUX,Marc,1941-05-17,M,91
IPP0000194,145057588767243,LAURENT,Marc,1945-05-12,M,75
IPP0000195,138079591798028,GARCIA,Hugo,1938-07-24,M,95
IPP0000196,159067782108543,DAVID,Pierre,1959-06-26,M,77
IPP0000197,253037732910640,DUBOIS,Hugo,1953-03-18,F,77
IPP0000198,267129370745584,MICHEL,Thomas,1967-12-14,F,93
IPP0000199,152069128265588,BERNARD,Pierre,1952-06-20,M,91
IPP0000200,281019503613029,DUBOIS,Julie,1981-01-05,F,78
IPP0000201,268019369646186,MICHEL,Chloe,1968-01-20,F,93
IPP0000202,233037840832256,MOREAU,Julie,1933-03-17,F,78
IPP0000203,120089193657692,THOMAS,Marc,2020-08-17,M,91
IPP0000204,263109520512663,ROBERT,Pierre,1963-10-10,F,95
IPP0000205,294027868435686,DUBOIS,Manon,1994-02-26,F,78
IPP0000206,246129381337154,VINCENT,Julie,1946-12-23,F,93
IPP0000207,147049502737077,FOURNIER,Louis,1947-04-26,M,95
IPP0000208,258039206831725,GARCIA,Sarah,1958-03-20,F,92
IPP0000209,233027865807661,BERTRAND,Thomas,1933-02-05,F,78
IPP0000210,291119378799031,ROBERT,Camille,1991-11-19,F,93
IPP0000211,135039316633164,LEROY,Chloe,1935-03-10,M,93
IPP0000212,243047712964194,SIMON,Ines,1943-04-21,F,77
IPP0000213,164109317667551,GIRARD,Ines,1964-10-19,M,93
IPP0000214,233017508404712,MOREL,Marc,1933-01-27,F,75
IPP0000215,138107551091191,FOURNIER,Lea,1938-10-21,M,75
IPP0000216,254117746507547,BERNARD,Emma,1954-11-13,F,77
IPP0000217,272049332188396,LAURENT,Chloe,1972-04-11,F,93
IPP0000218,297099232724815,BERTRAND,Sophie,1997-09-18,F,92
IPP0000219,282027796939467,GIRARD,Camille,1982-02-02,F,77
IPP0000220,146067819578215,PETIT,Sarah,1946-06-19,M,78
IPP0000221,262089296840380,VINCENT,Thomas,1962-08-01,F,92
IPP0000222,197017750761210,ROUX,Lea,1997-01-02,M,77
IPP0000223,138037878341363,MICHEL,Marie,1938-03-09,M,78
IPP0000224,219067707639633,VINCENT,Thomas,2019-06-18,F,77
IPP0000225,232119213299986,THOMAS,Nicolas,1932-11-20,F,92
IPP0000226,241099320461739,VINCENT,Nicolas,1941-09-12,F,93
IPP0000227,121129553246805,ROBERT,Ines,2021-12-11,M,95
IPP0000228,167069163275802,SIMON,Louis,1967-06-06,M,91
IPP0000229,258097748783647,MARTIN,Chloe,1958-09-16,F,77
IPP0000230,260107561248614,MOREAU,Louis,1960-10-10,F,75
IPP0000231,157089115284296,LEROY,Marie,1957-08-06,M,91
IPP0000232,194069342370895,DURAND,Camille,1994-06-14,M,93
IPP0000233,250129457533325,ROUX,Antoine,1950-12-05,F,94
IPP0000234,281087856036370,MOREAU,Ines,1981-08-18,F,78
IPP0000235,201057723196545,SIMON,Lea,2001-05-18,F,77
IPP0000236,159067857495755,MOREAU,Lea,1959-06-16,M,78
IPP0000237,158077897879296,ROBERT,Lea,1958-07-13,M,78
IPP0000238,184067776649162,DURAND,Paul,1984-06-15,M,77
IPP0000239,243039424905203,VINCENT,Julie,1943-03-04,F,94
IPP0000240,112069510369889,ROBERT,Jean,2012-06-23,M,95
IPP0000241,171089477598887,SIMON,Hugo,1971-08-21,M,94
IPP0000242,252029454875756,BERNARD,Emma,1952-02-21,F,94
IPP0000243,246019180750872,PETIT,Lea,1946-01-27,F,91
IPP0000244,122069565755795,VINCENT,Sarah,2022-06-10,M,95
IPP0000245,137059233916743,BERTRAND,Marc,1937-05-07,M,92
IPP0000246,115059418062643,GARCIA,Camille,2015-05-19,M,94
IPP0000247,287029348933278,LEROY,Jean,1987-02-06,F,93
IPP0000248,272057759774169,MOREL,Jean,1972-05-11,F,77
IPP0000249,255049247731545,PETIT,Nicolas,1955-04-02,F,92
IPP0000250,256059422598162,ROBERT,Sarah,1956-05-12,F,93
IPP0000251,157069577655154,DURAND,Julie,1957-06-14,M,95
IPP0000252,158129294057885,THOMAS,Marie,1958-12-12,M,92
IPP0000253,164039512069788,DURAND,Louis,1964-03-11,M,95
IPP0000254,292087546513670,VINCENT,Camille,1992-08-26,F,75
IPP0000255,258087774102314,GARCIA,Marc,1958-08-22,F,77
IPP0000256,157029135371811,DUBOIS,Manon,1957-02-02,M,91
IPP0000257,149087741918512,ROBERT,Camille,1949-08-02,M,77
IPP0000258,239089138508332,FOURNIER,Luc,1939-08-28,F,91
IPP0000259,291079374622918,MARTIN,Jean,1991-07-17,F,93
IPP0000260,255099184423685,LEROY,Thomas,1955-09-14,F,91
IPP0000261,202129203382956,DAVID,Ines,2002-12-25,F,92
IPP0000262,184027545861352,BERNARD,Julie,1984-02-20,M,75
IPP0000263,179097514451632,SIMON,Julie,1979-09-07,M,75
IPP0000264,254117824331043,ROBERT,Antoine,1954-11-27,F,78
IPP0000265,178019364269661,DAVID,Manon,1978-01-18,M,93
IPP0000266,214119180553884,LAURENT,Camille,2014-11-22,F,91
IPP0000267,296039524787016,LEROY,Lea,1996-03-25,F,95
IPP0000268,150099157154318,ROBERT,Nicolas,1950-09-14,M,91
IPP0000269,176119586838009,DUBOIS,Manon,1976-11-03,M,95
IPP0000270,113117589507527,DURAND,Louis,2013-11-20,M,75
IPP0000271,153067521796079,DURAND,Sophie,1953-06-10,M,75
IPP0000272,232129193824679,FOURNIER,Hugo,1932-12-07,F,91
IPP0000273,269117726836978,VINCENT,Sarah,1969-11-12,F,77
IPP0000274,293067832142460,BERNARD,Louis,1993-06-07,F,78
IPP0000275,166059130315730,DURAND,Hugo,1966-05-18,M,91
IPP0000276,179087826478246,ROUX,Sarah,1979-08-18,M,78
IPP0000277,297039518993986,FOURNIER,Marie,1997-03-05,F,95
IPP0000278,149117542314138,LEROY,Pierre,1949-11-02,M,75
IPP0000279,109087563365484,GIRARD,Sarah,2009-08-12,M,75
IPP0000280,212017754929479,MARTIN,Antoine,2012-01-01,F,77
IPP0000281,246029324719773,GIRARD,Antoine,1946-02-04,F,93
IPP0000282,243077898341637,BERTRAND,Louis,1943-07-03,F,78
IPP0000283,144059267087919,BERNARD,Pierre,1944-05-22,M,92
IPP0000284,269087572017606,DUBOIS,Sarah,1969-08-02,F,75
IPP0000285,261109291754101,BERNARD,Julie,1961-10-28,F,92
IPP0000286,133087594707756,MOREAU,Manon,1933-08-09,M,75
IPP0000287,198019377184113,GARCIA,Pierre,1998-01-07,M,93
IPP0000288,201109169491965,FOURNIER,Hugo,2001-10-27,F,91
IPP0000289,247129251376406,MICHEL,Marie,1947-12-24,F,92
IPP0000290,184069199379341,LAURENT,Jean,1984-06-20,M,91
IPP0000291,237087856796457,GARCIA,Camille,1937-08-08,F,78
IPP0000292,156077781825331,DUBOIS,Pierre,1956-07-03,M,77
IPP0000293,288039132537034,THOMAS,Pierre,1988-03-24,F,91
IPP0000294,137067710513646,DUBOIS,Emma,1937-06-25,M,77
IPP0000295,269099202709267,MICHEL,Manon,1969-09-14,F,92
IPP0000296,154069101329974,DAVID,Nicolas,1954-06-28,M,91
IPP0000297,158049370239080,PETIT,Luc,1958-04-19,M,93
IPP0000298,271039344628383,DAVID,Lea,1971-03-03,F,93
IPP0000299,240059560963227,DURAND,Thomas,1940-05-08,F,95
IPP0000300,108079182488331,LAURENT,Thomas,2008-07-11,M,92
IPP0000301,267037861897174,DURAND,Sarah,1967-03-10,F,78
IPP0000302,296069599159043,LEROY,Hugo,1996-06-10,F,95
IPP0000303,274069460755989,PETIT,Manon,1974-06-04,F,94
IPP0000304,137129581729955,DUBOIS,Camille,1937-12-07,M,95
IPP0000305,299049373343454,GARCIA,Pierre,1999-04-09,F,93
IPP0000306,236109155703843,MICHEL,Manon,1936-10-13,F,91
IPP0000307,101117817166335,GIRARD,Marie,2001-11-22,M,78
IPP0000308,241077510126555,LEROY,Antoine,1941-07-04,F,75
IPP0000309,174089335402676,ROUX,Sophie,1974-08-25,M,93
IPP0000310,284029335732026,LAURENT,Thomas,1984-02-27,F,93
IPP0000311,161089574071431,BERTRAND,Hugo,1961-08-04,M,95
IPP0000312,183017866411248,PETIT,Julie,1983-01-28,M,78
IPP0000313,161099523881766,GARCIA,Emma,1961-09-14,M,95
IPP0000314,160079446160732,DAVID,Nicolas,1960-07-01,M,94
IPP0000315,163059259210568,FOURNIER,Emma,1963-05-25,M,92
IPP0000316,272029554199093,LAURENT,Ines,1972-02-09,F,95
IPP0000317,257027886646912,GIRARD,Emma,1957-02-12,F,78
IPP0000318,233029332112121,LEROY,Lea,1933-02-22,F,93
IPP0000319,104099161114218,MOREL,Nicolas,2004-09-13,M,91
IPP0000320,288099356917136,ROUX,Lea,1988-09-23,F,93
IPP0000321,194107897501028,ROUX,Luc,1994-10-02,M,78
IPP0000322,134099541970251,ROUX,Camille,1934-09-21,M,95
IPP0000323,265109430003447,MOREAU,Julie,1965-10-01,F,94
IPP0000324,294109556352416,THOMAS,Louis,1994-10-24,F,95
IPP0000325,169067577973721,BERTRAND,Manon,1969-06-18,M,75
IPP0000326,148129430589647,BERNARD,Thomas,1948-12-27,M,94
IPP0000327,284089279583277,LEROY,Paul,1984-08-28,F,92
IPP0000328,232119363114310,DURAND,Paul,1932-11-14,F,93
IPP0000329,158059333272101,SIMON,Lea,1958-05-20,M,93
IPP0000330,235119213998633,DAVID,Marie,1935-11-27,F,92
IPP0000331,247129325615058,LAURENT,Julie,1947-12-28,F,93
IPP0000332,257119138546379,DUBOIS,Pierre,1957-11-09,F,91
IPP0000333,262129597450077,LAURENT,Louis,1962-12-12,F,95
IPP0000334,149127887106592,FOURNIER,Nicolas,1949-12-15,M,78
IPP0000335,145087884929176,LAURENT,Manon,1945-08-09,M,78
IPP0000336,159067504810287,BERTRAND,Jean,1959-06-22,M,75
IPP0000337,146087598243944,DURAND,Luc,1946-08-15,M,75
IPP0000338,200027825708522,MICHEL,Emma,2000-02-21,F,78
IPP0000339,177129444067238,DUBOIS,Sophie,1977-12-23,M,94
IPP0000340,106039453269706,BERTRAND,Jean,2006-03-19,M,94
IPP0000341,153029171113640,ROUX,Pierre,1953-02-28,M,91
IPP0000342,183027890330771,ROBERT,Nicolas,1983-02-11,M,78
IPP0000343,156037562566663,PETIT,Thomas,1956-03-03,M,75
IPP0000344,256129163170489,BERTRAND,Paul,1956-12-05,F,91
IPP0000345,147029136098722,DAVID,Hugo,1947-02-19,M,91
IPP0000346,184047779896452,MARTIN,Lea,1984-04-18,M,77
IPP0000347,158049130366295,BERNARD,Julie,1958-04-24,M,91
IPP0000348,279089254191106,MARTIN,Chloe,1979-08-21,F,92
IPP0000349,290079378248391,DUBOIS,Jean,1990-07-12,F,93
IPP0000350,119019151929417,VINCENT,Camille,2019-01-02,M,91
IPP0000351,265119328508603,SIMON,Pierre,1965-11-18,F,93
IPP0000352,147099160165031,DUBOIS,Lea,1947-09-11,M,91
IPP0000353,253049408994739,DAVID,Sophie,1953-04-02,F,94
IPP0000354,266059312301338,ROBERT,Jean,1966-05-22,F,93
IPP0000355,161097717138188,ROBERT,Marc,1961-09-17,M,77
IPP0000356,151069127953754,DUBOIS,Marc,1951-06-26,M,91
IPP0000357,158069588058156,PETIT,Chloe,1958-06-02,M,95
IPP0000358,183109223475939,VINCENT,Jean,1983-10-22,M,92
IPP0000359,151049537339351,ROBERT,Emma,1951-04-02,M,95
IPP0000360,152129123033032,LEROY,Camille,1952-12-24,M,91
IPP0000361,284109251569018,BERNARD,Emma,1984-10-12,F,92
IPP0000362,150079588729060,SIMON,Hugo,1950-07-03,M,95
IPP0000363,166067757880463,SIMON,Ines,1966-06-07,M,77
IPP0000364,157089475192306,FOURNIER,Julie,1957-08-25,M,94
IPP0000365,112017865286035,MARTIN,Hugo,2012-01-08,M,78
IPP0000366,139127710721106,VINCENT,Julie,1939-12-24,M,77
IPP0000367,266037709604552,LEROY,Antoine,1966-03-23,F,77
IPP0000368,261089259509881,VINCENT,Luc,1961-08-24,F,92
IPP0000369,224079324329985,MOREAU,Hugo,2024-07-22,F,93
IPP0000370,255069527924094,DUBOIS,Paul,1955-06-11,F,95
IPP0000371,133029216946150,BERTRAND,Hugo,1933-02-05,M,92
IPP0000372,297047747527247,THOMAS,Pierre,1997-04-15,F,77
IPP0000373,142127522185619,LAURENT,Luc,1942-12-23,M,75
IPP0000374,161077569430714,MOREAU,Emma,1961-07-17,M,75
IPP0000375,137099409747422,THOMAS,Luc,1937-09-24,M,94
IPP0000376,118039138270316,DUBOIS,Louis,2018-03-07,M,91
IPP0000377,249019492566230,BERTRAND,Luc,1949-01-03,F,94
IPP0000378,141029505217377,MOREL,Camille,1941-02-02,M,95
IPP0000379,260119336322005,PETIT,Marc,1960-11-14,F,93
IPP0000380,282019466330336,ROUX,Camille,1982-01-20,F,94
IPP0000381,217079120565901,VINCENT,Julie,2017-07-05,F,91
IPP0000382,140089535393533,MOREL,Antoine,1940-08-18,M,95
IPP0000383,281019403191897,MOREAU,Marie,1981-01-11,F,94
IPP0000384,254109310325495,LEROY,Marc,1954-10-08,F,93
IPP0000385,144109136495812,PETIT,Emma,1944-10-28,M,91
IPP0000386,154127893660672,MARTIN,Chloe,1954-12-23,M,78
IPP0000387,163087718050367,BERNARD,Pierre,1963-08-18,M,77
IPP0000388,179019500134047,GIRARD,Paul,1979-01-17,M,95
IPP0000389,181067515260146,ROBERT,Sophie,1981-06-02,M,75
IPP0000390,240129160110445,LAURENT,Lea,1940-12-22,F,91
IPP0000391,203129566532594,PETIT,Manon,2003-12-14,F,95
IPP0000392,290037775270669,SIMON,Luc,1990-03-13,F,77
IPP0000393,155107518761727,LAURENT,Ines,1955-10-13,M,75
IPP0000394,165087876408014,LEROY,Chloe,1965-08-05,M,78
IPP0000395,206127845801242,MOREAU,Paul,2006-12-22,F,78
IPP0000396,161059273800260,BERNARD,Nicolas,1961-05-26,M,92
IPP0000397,264079136056034,GARCIA,Sophie,1964-07-16,F,91
IPP0000398,233119416746351,DUBOIS,Marie,1933-11-25,F,94
IPP0000399,217027817591048,GARCIA,Emma,2017-02-03,F,78
IPP0000400,152029572203246,DAVID,Emma,1952-02-11,M,78
IPP0000401,205069442071401,FOURNIER,Manon,2005-06-07,F,94
IPP0000402,262047540358673,FOURNIER,Sarah,1962-04-04,F,75
IPP0000403,125077784467854,GIRARD,Sarah,2025-07-03,M,77
IPP0000404,102037708448554,THOMAS,Lea,2002-03-21,M,77
IPP0000405,252119265855863,GARCIA,Emma,1952-11-09,F,92
IPP0000406,240037527045122,BERTRAND,Marc,1940-03-15,F,75
